Time;Channel A;Channel B
(ms);(V);(V)

-3,60020460;0,00000000;-1,68005657
-3,60000460;0,04306102;-1,68005657
-3,59980460;0,00000000;-1,68005657
-3,59960460;0,00000000;-1,68005657
-3,59940460;0,00000000;-1,68005657
-3,59920460;0,04306102;-1,68005657
-3,59900460;0,04306102;-1,68005657
-3,59880460;0,00000000;-1,68005657
-3,59860460;0,04306102;-1,68005657
-3,59840460;0,00000000;-1,68005657
-3,59820460;0,08627583;-1,68005657
-3,59800460;0,04306102;-1,68005657
-3,59780460;0,00000000;-1,68005657
-3,59760460;-0,04306102;-1,68005657
-3,59740460;0,00000000;-1,68005657
-3,59720460;0,00000000;-1,68005657
-3,59700460;0,04306102;-1,68005657
-3,59680460;0,00000000;-1,68005657
-3,59660460;0,00000000;-1,68005657
-3,59640460;0,04306102;-1,68005657
-3,59620460;0,00000000;-1,68005657
-3,59600460;0,00000000;-1,69721949
-3,59580460;0,00000000;-1,68005657
-3,59560460;0,00000000;-1,68005657
-3,59540460;0,00000000;-1,68005657
-3,59520460;0,00000000;-1,68005657
-3,59500460;0,00000000;-1,68005657
-3,59480460;0,04306102;-1,68005657
-3,59460460;0,00000000;-1,68005657
-3,59440460;0,00000000;-1,68005657
-3,59420460;0,00000000;-1,68005657
-3,59400460;0,00000000;-1,68005657
-3,59380460;0,04306102;-1,68005657
-3,59360460;0,00000000;-1,68005657
-3,59340460;0,04306102;-1,68005657
-3,59320460;0,00000000;-1,68005657
-3,59300460;0,00000000;-1,68005657
-3,59280460;0,04306102;-1,68005657
-3,59260460;0,00000000;-1,69721949
-3,59240460;0,00000000;-1,68005657
-3,59220460;0,00000000;-1,68005657
-3,59200460;-0,04306102;-1,68005657
-3,59180460;0,00000000;-1,69721949
-3,59160460;0,04306102;-1,68005657
-3,59140460;0,00000000;-1,68005657
-3,59120460;0,00000000;-1,68005657
-3,59100460;0,04306102;-1,68005657
-3,59080460;0,04306102;-1,69721949
-3,59060460;0,08627583;-1,69721949
-3,59040460;0,04306102;-1,68005657
-3,59020460;0,00000000;-1,68005657
-3,59000460;0,00000000;-1,68005657
-3,58980460;0,04306102;-1,68005657
-3,58960460;0,00000000;-1,68005657
-3,58940460;0,00000000;-1,68005657
-3,58920460;-0,04306102;-1,68005657
-3,58900460;0,00000000;-1,68005657
-3,58880460;0,00000000;-1,68005657
-3,58860460;0,04306102;-1,68005657
-3,58840460;0,00000000;-1,68005657
-3,58820460;0,04306102;-1,68005657
-3,58800460;0,04306102;-1,68005657
-3,58780460;0,00000000;-1,68005657
-3,58760460;0,04306102;-1,68005657
-3,58740460;0,00000000;-1,69721949
-3,58720460;0,00000000;-1,68005657
-3,58700460;0,00000000;-1,68005657
-3,58680460;0,00000000;-1,68005657
-3,58660460;0,00000000;-1,68005657
-3,58640460;0,00000000;-1,68005657
-3,58620460;0,00000000;-1,68005657
-3,58600460;0,04306102;-1,68005657
-3,58580460;0,00000000;-1,68005657
-3,58560460;0,00000000;-1,68005657
-3,58540460;-0,04306102;-1,68005657
-3,58520460;0,00000000;-1,68005657
-3,58500460;-0,04306102;-1,68005657
-3,58480460;0,00000000;-1,68005657
-3,58460460;0,00000000;-1,68005657
-3,58440460;0,04306102;-1,68005657
-3,58420460;0,00000000;-1,68005657
-3,58400460;0,00000000;-1,68005657
-3,58380460;0,04306102;-1,68005657
-3,58360460;0,00000000;-1,68005657
-3,58340460;0,00000000;-1,68005657
-3,58320460;0,00000000;-1,69721949
-3,58300460;0,00000000;-1,68005657
-3,58280460;0,00000000;-1,68005657
-3,58260460;0,00000000;-1,68005657
-3,58240460;0,00000000;-1,68005657
-3,58220460;0,00000000;-1,68005657
-3,58200460;0,00000000;-1,68005657
-3,58180460;0,04306102;-1,68005657
-3,58160460;0,00000000;-1,68005657
-3,58140460;0,00000000;-1,68005657
-3,58120460;0,00000000;-1,68005657
-3,58100460;0,00000000;-1,68005657
-3,58080460;-0,04306102;-1,68005657
-3,58060460;-0,04306102;-1,68005657
-3,58040460;0,00000000;-1,68005657
-3,58020460;0,04306102;-1,68005657
-3,58000460;0,00000000;-1,68005657
-3,57980460;0,00000000;-1,68005657
-3,57960460;0,00000000;-1,68005657
-3,57940460;0,00000000;-1,68005657
-3,57920460;0,00000000;-1,68005657
-3,57900460;0,04306102;-1,68005657
-3,57880460;0,04306102;-1,68005657
-3,57860460;0,00000000;-1,68005657
-3,57840460;0,04306102;-1,69721949
-3,57820460;0,04306102;-1,68005657
-3,57800460;0,04306102;-1,68005657
-3,57780460;0,04306102;-1,68005657
