Time;Channel A;Channel B
(ms);(V);(V)

-3,60021461;3,32323456;-0,01710138
-3,60001461;3,32323456;-0,01710138
-3,59981461;3,32323456;-0,00000000
-3,59961461;3,28001976;-0,01710138
-3,59941461;3,32323456;-0,01710138
-3,59921461;3,32323456;-0,01710138
-3,59901461;3,32323456;-0,01710138
-3,59881461;3,36629534;-0,01710138
-3,59861461;3,32323456;-0,01710138
-3,59841461;3,32323456;-0,01710138
-3,59821461;3,28001976;-0,01710138
-3,59801461;3,28001976;-0,01710138
-3,59781461;3,32323456;-0,01710138
-3,59761461;3,36629534;-0,01710138
-3,59741461;3,36629534;-0,01710138
-3,59721461;3,32323456;-0,00000000
-3,59701461;3,32323456;-0,01710138
-3,59681461;3,32323456;-0,01710138
-3,59661461;3,28001976;-0,00000000
-3,59641461;3,28001976;-0,00000000
-3,59621461;3,28001976;-0,00000000
-3,59601461;3,28001976;-0,01710138
-3,59581461;3,32323456;-0,01710138
-3,59561461;3,36629534;-0,01710138
-3,59541461;3,32323456;-0,00000000
-3,59521461;3,32323456;-0,01710138
-3,59501461;3,36629534;-0,00000000
-3,59481461;3,32323456;-0,00000000
-3,59461461;3,32323456;-0,00000000
-3,59441461;3,32323456;-0,00000000
-3,59421461;3,28001976;-0,00000000
-3,59401461;3,36629534;-0,01710138
-3,59381461;3,32323456;-0,00000000
-3,59361461;3,32323456;-0,00000000
-3,59341461;3,32323456;-0,00000000
-3,59321461;3,32323456;-0,01710138
-3,59301461;3,32323456;-0,00000000
-3,59281461;3,32323456;-0,01710138
-3,59261461;3,36629534;-0,00000000
-3,59241461;3,32323456;-0,01710138
-3,59221461;3,36629534;-0,00000000
-3,59201461;3,32323456;-0,03426427
-3,59181461;3,28001976;-0,01710138
-3,59161461;3,32323456;-0,01710138
-3,59141461;3,32323456;-0,01710138
-3,59121461;3,32323456;-0,01710138
-3,59101461;3,32323456;-0,01710138
-3,59081461;3,32323456;-0,01710138
-3,59061461;3,36629534;-0,01710138
-3,59041461;3,36629534;-0,01710138
-3,59021461;3,36629534;-0,01710138
-3,59001461;3,32323456;-0,01710138
-3,58981461;3,32323456;-0,00000000
-3,58961461;3,36629534;-0,01710138
-3,58941461;3,32323456;-0,01710138
-3,58921461;3,36629534;-0,01710138
-3,58901461;3,32323456;-0,00000000
-3,58881461;3,32323456;-0,00000000
-3,58861461;3,36629534;-0,01710138
-3,58841461;3,32323456;-0,00000000
-3,58821461;3,32323456;-0,00000000
-3,58801461;3,32323456;-0,00000000
-3,58781461;3,32323456;-0,01710138
-3,58761461;3,32323456;-0,01710138
-3,58741461;3,32323456;-0,00000000
-3,58721461;3,32323456;-0,01710138
-3,58701461;3,32323456;-0,00000000
-3,58681461;3,32323456;-0,01710138
-3,58661461;3,32323456;-0,01710138
-3,58641461;3,32323456;-0,01710138
-3,58621461;3,36629534;-0,01710138
-3,58601461;3,28001976;-0,01710138
-3,58581461;3,28001976;-0,01710138
-3,58561461;3,32323456;-0,01710138
-3,58541461;3,32323456;-0,01710138
-3,58521461;3,36629534;-0,00000000
-3,58501461;3,28001976;-0,01710138
-3,58481461;3,28001976;-0,01710138
-3,58461461;3,28001976;-0,00000000
-3,58441461;3,32323456;-0,00000000
-3,58421461;3,32323456;-0,00000000
-3,58401461;3,32323456;-0,00000000
-3,58381461;3,36629534;-0,01710138
-3,58361461;3,32323456;-0,00000000
-3,58341461;3,32323456;-0,01710138
-3,58321461;3,32323456;-0,00000000
-3,58301461;3,32323456;-0,00000000
-3,58281461;3,36629534;-0,00000000
-3,58261461;3,32323456;-0,00000000
-3,58241461;3,32323456;-0,01710138
-3,58221461;3,32323456;-0,00000000
-3,58201461;3,32323456;-0,01710138
-3,58181461;3,32323456;-0,01710138
-3,58161461;3,32323456;-0,00000000
-3,58141461;3,36629534;-0,00000000
-3,58121461;3,32323456;-0,01710138
-3,58101461;3,32323456;-0,01710138
-3,58081461;3,32323456;-0,00000000
-3,58061461;3,32323456;-0,00000000
-3,58041461;3,32323456;-0,00000000
-3,58021461;3,32323456;-0,00000000
-3,58001461;3,32323456;-0,01710138
-3,57981461;3,28001976;-0,00000000
-3,57961461;3,32323456;-0,01710138
-3,57941461;3,28001976;-0,01710138
-3,57921461;3,32323456;-0,00000000
-3,57901461;3,32323456;-0,00000000
-3,57881461;3,32323456;-0,00000000
-3,57861461;3,28001976;-0,01710138
-3,57841461;3,32323456;-0,01710138
-3,57821461;3,32323456;-0,00000000
-3,57801461;3,32323456;-0,01710138
-3,57781461;3,28001976;-0,01710138
-3,57761461;3,32323456;-0,00000000
