Time;Channel A;Channel B
(ms);(V);(V)

-3,60021414;3,32323456;-0,01710138
-3,60001414;3,28001976;-0,01710138
-3,59981414;3,36629534;-0,01710138
-3,59961414;3,36629534;-0,01710138
-3,59941414;3,28001976;-0,01710138
-3,59921414;3,32323456;-0,01710138
-3,59901414;3,36629534;-0,01710138
-3,59881414;3,32323456;-0,01710138
-3,59861414;3,32323456;-0,01710138
-3,59841414;3,32323456;-0,01710138
-3,59821414;3,32323456;-0,01710138
-3,59801414;3,32323456;-0,01710138
-3,59781414;3,32323456;-0,01710138
-3,59761414;3,32323456;-0,01710138
-3,59741414;3,32323456;-0,01710138
-3,59721414;3,32323456;-0,01710138
-3,59701414;3,32323456;-0,01710138
-3,59681414;3,36629534;-0,01710138
-3,59661414;3,32323456;-0,01710138
-3,59641414;3,32323456;-0,01710138
-3,59621414;3,32323456;-0,01710138
-3,59601414;3,28001976;-0,01710138
-3,59581414;3,32323456;-0,01710138
-3,59561414;3,32323456;-0,01710138
-3,59541414;3,28001976;-0,01710138
-3,59521414;3,28001976;-0,01710138
-3,59501414;3,32323456;-0,01710138
-3,59481414;3,28001976;-0,01710138
-3,59461414;3,32323456;-0,01710138
-3,59441414;3,32323456;-0,01710138
-3,59421414;3,32323456;-0,01710138
-3,59401414;3,32323456;-0,01710138
-3,59381414;3,28001976;-0,01710138
-3,59361414;3,28001976;-0,01710138
-3,59341414;3,28001976;-0,01710138
-3,59321414;3,32323456;-0,01710138
-3,59301414;3,32323456;-0,01710138
-3,59281414;3,28001976;-0,01710138
-3,59261414;3,32323456;-0,01710138
-3,59241414;3,28001976;-0,01710138
-3,59221414;3,32323456;-0,01710138
-3,59201414;3,32323456;-0,01710138
-3,59181414;3,36629534;-0,01710138
-3,59161414;3,28001976;-0,01710138
-3,59141414;3,32323456;-0,01710138
-3,59121414;3,32323456;-0,01710138
-3,59101414;3,36629534;-0,01710138
-3,59081414;3,28001976;-0,01710138
-3,59061414;3,32323456;-0,01710138
-3,59041414;3,32323456;-0,01710138
-3,59021414;3,32323456;-0,01710138
-3,59001414;3,36629534;-0,01710138
-3,58981414;3,28001976;-0,01710138
-3,58961414;3,28001976;-0,01710138
-3,58941414;3,23695874;-0,01710138
-3,58921414;3,28001976;-0,01710138
-3,58901414;3,32323456;-0,01710138
-3,58881414;3,32323456;-0,01710138
-3,58861414;3,32323456;-0,01710138
-3,58841414;3,28001976;-0,01710138
-3,58821414;3,32323456;-0,01710138
-3,58801414;3,28001976;-0,01710138
-3,58781414;3,32323456;-0,01710138
-3,58761414;3,28001976;-0,01710138
-3,58741414;3,28001976;-0,01710138
-3,58721414;3,28001976;-0,01710138
-3,58701414;3,28001976;-0,01710138
-3,58681414;3,32323456;-0,01710138
-3,58661414;3,32323456;-0,01710138
-3,58641414;3,23695874;-0,01710138
-3,58621414;3,36629534;-0,01710138
-3,58601414;3,32323456;-0,01710138
-3,58581414;3,32323456;-0,01710138
-3,58561414;3,28001976;-0,01710138
-3,58541414;3,32323456;-0,01710138
-3,58521414;3,32323456;-0,01710138
-3,58501414;3,32323456;-0,01710138
-3,58481414;3,32323456;-0,01710138
-3,58461414;3,32323456;-0,01710138
-3,58441414;3,32323456;-0,01710138
-3,58421414;3,28001976;-0,01710138
-3,58401414;3,32323456;-0,01710138
-3,58381414;3,32323456;-0,01710138
-3,58361414;3,32323456;-0,01710138
-3,58341414;3,36629534;-0,01710138
-3,58321414;3,32323456;-0,00000000
-3,58301414;3,32323456;-0,00000000
-3,58281414;3,28001976;-0,00000000
-3,58261414;3,32323456;-0,01710138
-3,58241414;3,32323456;-0,01710138
-3,58221414;3,32323456;-0,01710138
-3,58201414;3,32323456;-0,01710138
-3,58181414;3,32323456;-0,01710138
-3,58161414;3,36629534;-0,01710138
-3,58141414;3,28001976;-0,01710138
-3,58121414;3,32323456;-0,01710138
-3,58101414;3,32323456;-0,01710138
-3,58081414;3,32323456;-0,01710138
-3,58061414;3,32323456;-0,01710138
-3,58041414;3,32323456;-0,00000000
-3,58021414;3,32323456;-0,00000000
-3,58001414;3,28001976;-0,01710138
-3,57981414;3,32323456;-0,01710138
-3,57961414;3,32323456;-0,01710138
-3,57941414;3,28001976;-0,00000000
-3,57921414;3,32323456;-0,01710138
-3,57901414;3,36629534;-0,01710138
-3,57881414;3,32323456;-0,01710138
-3,57861414;3,32323456;-0,01710138
-3,57841414;3,32323456;-0,01710138
-3,57821414;3,32323456;-0,01710138
-3,57801414;3,28001976;-0,01710138
-3,57781414;3,32323456;-0,01710138
-3,57761414;3,32323456;-0,01710138
