Time;Channel A;Channel B
(ms);(V);(V)

-3,60020902;3,28001976;-0,01710138
-3,60000902;3,28001976;-0,01710138
-3,59980902;3,32323456;-0,00000000
-3,59960902;3,28001976;-0,00000000
-3,59940902;3,32323456;-0,01710138
-3,59920902;3,32323456;-0,01710138
-3,59900902;3,32323456;-0,01710138
-3,59880902;3,32323456;-0,01710138
-3,59860902;3,36629534;-0,01710138
-3,59840902;3,36629534;-0,00000000
-3,59820902;3,28001976;-0,01710138
-3,59800902;3,32323456;-0,01710138
-3,59780902;3,28001976;-0,01710138
-3,59760902;3,32323456;-0,01710138
-3,59740902;3,32323456;-0,01710138
-3,59720902;3,28001976;-0,01710138
-3,59700902;3,28001976;-0,01710138
-3,59680902;3,32323456;-0,01710138
-3,59660902;3,32323456;-0,00000000
-3,59640902;3,32323456;-0,01710138
-3,59620902;3,28001976;-0,01710138
-3,59600902;3,32323456;-0,01710138
-3,59580902;3,28001976;-0,01710138
-3,59560902;3,36629534;-0,00000000
-3,59540902;3,28001976;-0,00000000
-3,59520902;3,32323456;-0,00000000
-3,59500902;3,32323456;-0,00000000
-3,59480902;3,32323456;-0,01710138
-3,59460902;3,32323456;-0,01710138
-3,59440902;3,32323456;-0,00000000
-3,59420902;3,28001976;-0,01710138
-3,59400902;3,32323456;-0,01710138
-3,59380902;3,36629534;-0,01710138
-3,59360902;3,28001976;-0,01710138
-3,59340902;3,36629534;-0,01710138
-3,59320902;3,28001976;-0,01710138
-3,59300902;3,36629534;-0,01710138
-3,59280902;3,28001976;-0,01710138
-3,59260902;3,32323456;-0,01710138
-3,59240902;3,32323456;-0,01710138
-3,59220902;3,28001976;-0,01710138
-3,59200902;3,28001976;-0,01710138
-3,59180902;3,36629534;-0,01710138
-3,59160902;3,36629534;-0,01710138
-3,59140902;3,32323456;-0,01710138
-3,59120902;3,32323456;-0,01710138
-3,59100902;3,32323456;-0,00000000
-3,59080902;3,28001976;-0,01710138
-3,59060902;3,32323456;-0,01710138
-3,59040902;3,32323456;-0,01710138
-3,59020902;3,32323456;-0,00000000
-3,59000902;3,32323456;-0,00000000
-3,58980902;3,36629534;-0,01710138
-3,58960902;3,32323456;-0,01710138
-3,58940902;3,32323456;-0,01710138
-3,58920902;3,32323456;-0,01710138
-3,58900902;3,28001976;-0,00000000
-3,58880902;3,36629534;-0,01710138
-3,58860902;3,32323456;-0,00000000
-3,58840902;3,32323456;-0,01710138
-3,58820902;3,32323456;-0,01710138
-3,58800902;3,28001976;-0,01710138
-3,58780902;3,28001976;-0,00000000
-3,58760902;3,32323456;-0,01710138
-3,58740902;3,28001976;-0,00000000
-3,58720902;3,32323456;-0,01710138
-3,58700902;3,28001976;-0,01710138
-3,58680902;3,32323456;-0,00000000
-3,58660902;3,32323456;-0,00000000
-3,58640902;3,28001976;-0,01710138
-3,58620902;3,32323456;-0,00000000
-3,58600902;3,28001976;-0,00000000
-3,58580902;3,28001976;-0,00000000
-3,58560902;3,32323456;-0,01710138
-3,58540902;3,28001976;-0,01710138
-3,58520902;3,36629534;-0,00000000
-3,58500902;3,28001976;-0,01710138
-3,58480902;3,32323456;-0,01710138
-3,58460902;3,36629534;-0,01710138
-3,58440902;3,32323456;-0,00000000
-3,58420902;3,32323456;-0,01710138
-3,58400902;3,28001976;-0,01710138
-3,58380902;3,32323456;-0,00000000
-3,58360902;3,28001976;-0,00000000
-3,58340902;3,32323456;-0,00000000
-3,58320902;3,36629534;-0,00000000
-3,58300902;3,32323456;-0,00000000
-3,58280902;3,28001976;-0,00000000
-3,58260902;3,28001976;-0,01710138
-3,58240902;3,32323456;-0,00000000
-3,58220902;3,36629534;-0,00000000
-3,58200902;3,28001976;-0,00000000
-3,58180902;3,32323456;-0,01710138
-3,58160902;3,32323456;-0,00000000
-3,58140902;3,32323456;-0,01710138
-3,58120902;3,32323456;-0,00000000
-3,58100902;3,32323456;-0,00000000
-3,58080902;3,36629534;-0,01710138
-3,58060902;3,28001976;-0,01710138
-3,58040902;3,28001976;-0,00000000
-3,58020902;3,32323456;-0,01710138
-3,58000902;3,32323456;-0,00000000
-3,57980902;3,28001976;-0,00000000
-3,57960902;3,32323456;-0,00000000
-3,57940902;3,32323456;-0,00000000
-3,57920902;3,32323456;-0,00000000
-3,57900902;3,32323456;-0,00000000
-3,57880902;3,28001976;-0,01710138
-3,57860902;3,32323456;-0,01710138
-3,57840902;3,36629534;-0,00000000
-3,57820902;3,28001976;-0,00000000
-3,57800902;3,32323456;-0,01710138
-3,57780902;3,32323456;-0,00000000
-3,57760902;3,32323456;-0,01710138
