Time;Channel A;Channel B
(ms);(V);(V)

-3,60021088;3,28001976;-0,01710138
-3,60001088;3,28001976;-0,01710138
-3,59981088;3,32323456;-0,00000000
-3,59961088;3,32323456;-0,01710138
-3,59941088;3,32323456;-0,01710138
-3,59921088;3,32323456;-0,01710138
-3,59901088;3,28001976;-0,01710138
-3,59881088;3,28001976;-0,01710138
-3,59861088;3,28001976;-0,01710138
-3,59841088;3,32323456;-0,01710138
-3,59821088;3,32323456;-0,01710138
-3,59801088;3,28001976;-0,00000000
-3,59781088;3,28001976;-0,01710138
-3,59761088;3,32323456;-0,00000000
-3,59741088;3,32323456;-0,01710138
-3,59721088;3,32323456;-0,01710138
-3,59701088;3,32323456;-0,01710138
-3,59681088;3,32323456;-0,01710138
-3,59661088;3,32323456;-0,00000000
-3,59641088;3,32323456;-0,01710138
-3,59621088;3,36629534;-0,01710138
-3,59601088;3,32323456;-0,01710138
-3,59581088;3,32323456;-0,00000000
-3,59561088;3,32323456;-0,01710138
-3,59541088;3,36629534;-0,00000000
-3,59521088;3,28001976;-0,01710138
-3,59501088;3,28001976;-0,01710138
-3,59481088;3,36629534;-0,01710138
-3,59461088;3,32323456;-0,01710138
-3,59441088;3,32323456;-0,01710138
-3,59421088;3,32323456;-0,01710138
-3,59401088;3,28001976;-0,01710138
-3,59381088;3,32323456;-0,01710138
-3,59361088;3,32323456;-0,01710138
-3,59341088;3,36629534;-0,01710138
-3,59321088;3,28001976;-0,01710138
-3,59301088;3,36629534;-0,01710138
-3,59281088;3,32323456;-0,01710138
-3,59261088;3,28001976;-0,01710138
-3,59241088;3,36629534;-0,01710138
-3,59221088;3,32323456;-0,01710138
-3,59201088;3,32323456;-0,00000000
-3,59181088;3,32323456;-0,01710138
-3,59161088;3,32323456;-0,01710138
-3,59141088;3,32323456;-0,01710138
-3,59121088;3,28001976;-0,01710138
-3,59101088;3,36629534;-0,01710138
-3,59081088;3,32323456;-0,01710138
-3,59061088;3,32323456;-0,01710138
-3,59041088;3,23695874;-0,01710138
-3,59021088;3,32323456;-0,01710138
-3,59001088;3,32323456;-0,01710138
-3,58981088;3,36629534;-0,00000000
-3,58961088;3,32323456;-0,01710138
-3,58941088;3,32323456;-0,01710138
-3,58921088;3,28001976;-0,01710138
-3,58901088;3,32323456;-0,00000000
-3,58881088;3,32323456;-0,01710138
-3,58861088;3,32323456;-0,01710138
-3,58841088;3,32323456;-0,01710138
-3,58821088;3,32323456;-0,01710138
-3,58801088;3,32323456;-0,01710138
-3,58781088;3,32323456;-0,01710138
-3,58761088;3,32323456;-0,01710138
-3,58741088;3,28001976;-0,01710138
-3,58721088;3,28001976;-0,01710138
-3,58701088;3,36629534;-0,01710138
-3,58681088;3,28001976;-0,00000000
-3,58661088;3,28001976;-0,01710138
-3,58641088;3,36629534;-0,01710138
-3,58621088;3,28001976;-0,01710138
-3,58601088;3,28001976;-0,01710138
-3,58581088;3,32323456;-0,01710138
-3,58561088;3,28001976;-0,01710138
-3,58541088;3,28001976;-0,01710138
-3,58521088;3,36629534;-0,01710138
-3,58501088;3,32323456;-0,01710138
-3,58481088;3,32323456;-0,01710138
-3,58461088;3,32323456;-0,01710138
-3,58441088;3,36629534;-0,00000000
-3,58421088;3,28001976;-0,01710138
-3,58401088;3,32323456;-0,01710138
-3,58381088;3,32323456;-0,00000000
-3,58361088;3,28001976;-0,00000000
-3,58341088;3,28001976;-0,01710138
-3,58321088;3,32323456;-0,01710138
-3,58301088;3,28001976;-0,01710138
-3,58281088;3,32323456;-0,01710138
-3,58261088;3,28001976;-0,01710138
-3,58241088;3,28001976;-0,01710138
-3,58221088;3,32323456;-0,01710138
-3,58201088;3,32323456;-0,01710138
-3,58181088;3,32323456;-0,01710138
-3,58161088;3,32323456;-0,01710138
-3,58141088;3,32323456;-0,01710138
-3,58121088;3,32323456;-0,00000000
-3,58101088;3,28001976;-0,01710138
-3,58081088;3,36629534;-0,01710138
-3,58061088;3,32323456;-0,00000000
-3,58041088;3,32323456;-0,01710138
-3,58021088;3,28001976;-0,01710138
-3,58001088;3,28001976;-0,01710138
-3,57981088;3,32323456;-0,01710138
-3,57961088;3,32323456;-0,01710138
-3,57941088;3,32323456;-0,01710138
-3,57921088;3,32323456;-0,01710138
-3,57901088;3,32323456;-0,01710138
-3,57881088;3,32323456;-0,01710138
-3,57861088;3,32323456;-0,01710138
-3,57841088;3,28001976;-0,01710138
-3,57821088;3,32323456;-0,01710138
-3,57801088;3,32323456;-0,01710138
-3,57781088;3,32323456;-0,01710138
-3,57761088;3,28001976;-0,01710138
