Time;Channel A;Channel B
(ms);(V);(V)

-3,60020227;3,23695874;-0,01710138
-3,60000227;3,32323456;-0,01710138
-3,59980227;3,28001976;-0,01710138
-3,59960227;3,28001976;-0,01710138
-3,59940227;3,23695874;-0,01710138
-3,59920227;3,32323456;-0,01710138
-3,59900227;3,36629534;-0,01710138
-3,59880227;3,28001976;-0,01710138
-3,59860227;3,32323456;-0,01710138
-3,59840227;3,36629534;-0,01710138
-3,59820227;3,28001976;-0,01710138
-3,59800227;3,32323456;-0,01710138
-3,59780227;3,32323456;-0,01710138
-3,59760227;3,28001976;-0,00000000
-3,59740227;3,28001976;-0,01710138
-3,59720227;3,28001976;-0,01710138
-3,59700227;3,32323456;-0,01710138
-3,59680227;3,32323456;-0,01710138
-3,59660227;3,32323456;-0,01710138
-3,59640227;3,28001976;-0,01710138
-3,59620227;3,32323456;-0,01710138
-3,59600227;3,28001976;-0,01710138
-3,59580227;3,32323456;-0,01710138
-3,59560227;3,32323456;-0,01710138
-3,59540227;3,32323456;-0,01710138
-3,59520227;3,28001976;-0,03426427
-3,59500227;3,28001976;-0,01710138
-3,59480227;3,28001976;-0,01710138
-3,59460227;3,36629534;-0,01710138
-3,59440227;3,28001976;-0,01710138
-3,59420227;3,28001976;-0,01710138
-3,59400227;3,28001976;-0,01710138
-3,59380227;3,28001976;-0,01710138
-3,59360227;3,32323456;-0,01710138
-3,59340227;3,36629534;-0,01710138
-3,59320227;3,32323456;-0,01710138
-3,59300227;3,32323456;-0,01710138
-3,59280227;3,32323456;-0,01710138
-3,59260227;3,32323456;-0,00000000
-3,59240227;3,28001976;-0,01710138
-3,59220227;3,32323456;-0,01710138
-3,59200227;3,28001976;-0,00000000
-3,59180227;3,28001976;-0,01710138
-3,59160227;3,32323456;-0,01710138
-3,59140227;3,28001976;-0,01710138
-3,59120227;3,28001976;-0,01710138
-3,59100227;3,32323456;-0,01710138
-3,59080227;3,36629534;-0,00000000
-3,59060227;3,36629534;-0,01710138
-3,59040227;3,28001976;-0,01710138
-3,59020227;3,28001976;-0,01710138
-3,59000227;3,28001976;-0,00000000
-3,58980227;3,28001976;-0,01710138
-3,58960227;3,32323456;-0,01710138
-3,58940227;3,32323456;-0,01710138
-3,58920227;3,32323456;-0,01710138
-3,58900227;3,36629534;-0,00000000
-3,58880227;3,32323456;-0,00000000
-3,58860227;3,28001976;-0,01710138
-3,58840227;3,28001976;-0,01710138
-3,58820227;3,28001976;-0,01710138
-3,58800227;3,28001976;-0,01710138
-3,58780227;3,28001976;-0,01710138
-3,58760227;3,28001976;-0,01710138
-3,58740227;3,32323456;-0,01710138
-3,58720227;3,23695874;-0,01710138
-3,58700227;3,36629534;-0,01710138
-3,58680227;3,32323456;-0,00000000
-3,58660227;3,28001976;-0,01710138
-3,58640227;3,32323456;-0,01710138
-3,58620227;3,28001976;-0,01710138
-3,58600227;3,28001976;-0,01710138
-3,58580227;3,32323456;-0,01710138
-3,58560227;3,36629534;-0,00000000
-3,58540227;3,28001976;-0,01710138
-3,58520227;3,32323456;-0,01710138
-3,58500227;3,32323456;-0,01710138
-3,58480227;3,23695874;-0,01710138
-3,58460227;3,32323456;-0,01710138
-3,58440227;3,32323456;-0,01710138
-3,58420227;3,32323456;-0,01710138
-3,58400227;3,32323456;-0,01710138
-3,58380227;3,32323456;-0,01710138
-3,58360227;3,28001976;-0,01710138
-3,58340227;3,28001976;-0,01710138
-3,58320227;3,36629534;-0,01710138
-3,58300227;3,32323456;-0,01710138
-3,58280227;3,28001976;-0,01710138
-3,58260227;3,32323456;-0,01710138
-3,58240227;3,32323456;-0,01710138
-3,58220227;3,32323456;-0,01710138
-3,58200227;3,32323456;-0,01710138
-3,58180227;3,28001976;-0,01710138
-3,58160227;3,32323456;-0,01710138
-3,58140227;3,32323456;-0,01710138
-3,58120227;3,32323456;-0,01710138
-3,58100227;3,28001976;-0,01710138
-3,58080227;3,36629534;-0,01710138
-3,58060227;3,32323456;-0,01710138
-3,58040227;3,32323456;-0,00000000
-3,58020227;3,32323456;-0,01710138
-3,58000227;3,32323456;-0,01710138
-3,57980227;3,28001976;-0,00000000
-3,57960227;3,28001976;-0,01710138
-3,57940227;3,32323456;-0,00000000
-3,57920227;3,32323456;-0,01710138
-3,57900227;3,32323456;-0,01710138
-3,57880227;3,28001976;-0,00000000
-3,57860227;3,28001976;-0,01710138
-3,57840227;3,32323456;-0,01710138
-3,57820227;3,32323456;-0,01710138
-3,57800227;3,28001976;-0,01710138
-3,57780227;3,32323456;-0,01710138
-3,57760227;3,32323456;-0,01710138
