Time;Channel A;Channel B
(ms);(V);(V)

-3,60021205;3,32323456;-0,01710138
-3,60001205;3,32323456;-0,01710138
-3,59981205;3,32323456;-0,01710138
-3,59961205;3,32323456;-0,01710138
-3,59941205;3,32323456;-0,01710138
-3,59921205;3,32323456;-0,01710138
-3,59901205;3,28001976;-0,01710138
-3,59881205;3,28001976;-0,01710138
-3,59861205;3,32323456;-0,01710138
-3,59841205;3,32323456;-0,01710138
-3,59821205;3,28001976;-0,01710138
-3,59801205;3,28001976;-0,01710138
-3,59781205;3,32323456;-0,01710138
-3,59761205;3,32323456;-0,01710138
-3,59741205;3,32323456;-0,01710138
-3,59721205;3,28001976;-0,01710138
-3,59701205;3,28001976;-0,01710138
-3,59681205;3,28001976;-0,01710138
-3,59661205;3,28001976;-0,01710138
-3,59641205;3,28001976;-0,01710138
-3,59621205;3,32323456;-0,01710138
-3,59601205;3,32323456;-0,01710138
-3,59581205;3,32323456;-0,01710138
-3,59561205;3,28001976;-0,01710138
-3,59541205;3,28001976;-0,01710138
-3,59521205;3,32323456;-0,01710138
-3,59501205;3,32323456;-0,01710138
-3,59481205;3,28001976;-0,01710138
-3,59461205;3,32323456;-0,01710138
-3,59441205;3,28001976;-0,01710138
-3,59421205;3,32323456;-0,01710138
-3,59401205;3,36629534;-0,01710138
-3,59381205;3,32323456;-0,01710138
-3,59361205;3,28001976;-0,01710138
-3,59341205;3,32323456;-0,01710138
-3,59321205;3,28001976;-0,00000000
-3,59301205;3,32323456;-0,01710138
-3,59281205;3,32323456;-0,01710138
-3,59261205;3,28001976;-0,01710138
-3,59241205;3,32323456;-0,01710138
-3,59221205;3,32323456;-0,01710138
-3,59201205;3,28001976;-0,01710138
-3,59181205;3,28001976;-0,01710138
-3,59161205;3,32323456;-0,01710138
-3,59141205;3,28001976;-0,01710138
-3,59121205;3,28001976;-0,01710138
-3,59101205;3,36629534;-0,01710138
-3,59081205;3,28001976;-0,01710138
-3,59061205;3,28001976;-0,01710138
-3,59041205;3,32323456;-0,01710138
-3,59021205;3,32323456;-0,01710138
-3,59001205;3,32323456;-0,01710138
-3,58981205;3,28001976;-0,01710138
-3,58961205;3,32323456;-0,01710138
-3,58941205;3,23695874;-0,01710138
-3,58921205;3,32323456;-0,01710138
-3,58901205;3,32323456;-0,01710138
-3,58881205;3,32323456;-0,00000000
-3,58861205;3,32323456;-0,01710138
-3,58841205;3,28001976;-0,01710138
-3,58821205;3,36629534;-0,00000000
-3,58801205;3,32323456;-0,00000000
-3,58781205;3,32323456;-0,01710138
-3,58761205;3,32323456;-0,01710138
-3,58741205;3,32323456;-0,01710138
-3,58721205;3,28001976;-0,01710138
-3,58701205;3,32323456;-0,01710138
-3,58681205;3,32323456;-0,00000000
-3,58661205;3,32323456;-0,01710138
-3,58641205;3,28001976;-0,01710138
-3,58621205;3,32323456;-0,01710138
-3,58601205;3,32323456;-0,01710138
-3,58581205;3,28001976;-0,01710138
-3,58561205;3,32323456;-0,01710138
-3,58541205;3,32323456;-0,01710138
-3,58521205;3,32323456;-0,00000000
-3,58501205;3,32323456;-0,00000000
-3,58481205;3,28001976;-0,01710138
-3,58461205;3,32323456;-0,01710138
-3,58441205;3,28001976;-0,01710138
-3,58421205;3,32323456;-0,01710138
-3,58401205;3,28001976;-0,01710138
-3,58381205;3,32323456;-0,00000000
-3,58361205;3,28001976;-0,01710138
-3,58341205;3,23695874;-0,01710138
-3,58321205;3,32323456;-0,01710138
-3,58301205;3,28001976;-0,01710138
-3,58281205;3,32323456;-0,01710138
-3,58261205;3,32323456;-0,01710138
-3,58241205;3,32323456;-0,01710138
-3,58221205;3,28001976;-0,01710138
-3,58201205;3,28001976;-0,00000000
-3,58181205;3,28001976;-0,01710138
-3,58161205;3,32323456;-0,00000000
-3,58141205;3,28001976;-0,01710138
-3,58121205;3,32323456;-0,01710138
-3,58101205;3,28001976;-0,01710138
-3,58081205;3,32323456;-0,00000000
-3,58061205;3,36629534;-0,01710138
-3,58041205;3,28001976;-0,01710138
-3,58021205;3,28001976;-0,00000000
-3,58001205;3,28001976;-0,00000000
-3,57981205;3,32323456;-0,01710138
-3,57961205;3,36629534;-0,01710138
-3,57941205;3,28001976;-0,01710138
-3,57921205;3,32323456;-0,01710138
-3,57901205;3,28001976;-0,00000000
-3,57881205;3,32323456;-0,01710138
-3,57861205;3,32323456;-0,01710138
-3,57841205;3,32323456;-0,01710138
-3,57821205;3,36629534;-0,01710138
-3,57801205;3,32323456;-0,01710138
-3,57781205;3,28001976;-0,01710138
-3,57761205;3,32323456;-0,01710138
