R,I,V
100,0,2.01
47,0.05,1.95
40,0.06,1.83
35.6,0.067,1.8
30,0.079,1.77
25.6,0.09,1.7
20,0.115,1.59
15.6,0.14,1.46
10,0.198,1.19
8.9,0.22,1.06
7.1,0.224,1
0,0.229,0
