R,I,V
1K,0.248,0
100K,0.246,24.3
180k,0.244,43.1
270k,0.244,64.2
390k,0.244,92.6
470k,0.24,109.9
560k,0.233,126
680k,0.221,145
820k,0.202,160
1M,0.177,172
1.8M,0.107,192.5
3.3M,0.062,200
4.7M,0.0419,203
5.6M,0.035,204
10M,0.0206,205.7
15.6M,0.0103,206.8
20M,0.0101,207
30M,0.006,207.6
47M,0.004,207.7
100M,0,207.8
